entry_id,place_name,controle_civil,caidat,annexe,distance_km,distance_from,population,altitude_m,tribe_mentioned,owners_raw,has_railway_station,has_school,has_post_office,has_market,has_roman_ruins,archaeology_raw,n_chars,page_first,ocr_confidence
L1912-00875,DJEBEL-BOIT-JABER,Kef,Tadjerouine,,9,Kàlaâtes- Senann Mines de zinc,,,,M. Donégani,0,0,0,0,0,,317,158,0.9323
L1912-00876,DJEBEL-CARROUBA,Tunis,la banlieue,,,,,,,Société des Tartres et Alcools,0,0,0,0,0,,122,159,0.9912
L1912-00877,DJEBEL-CHARRA,,Béja,,,,,,,Djebel-Charra Mining Compagny Limited,0,0,0,0,0,,207,159,0.9407
L1912-00878,DJEBEL-CHOUCHA,Bizerte,Mateur,,25,DjebelAbiod,,,,,0,0,0,0,0,,77,159,0.956
L1912-00879,DJEBEL-CHOUICHIA,Soukel-Arba,Ouled-bou-Sa,,10,Oued-Meliz,200,,,,0,0,0,1,0,,402,159,0.9048
L1912-00880,DJEBEL-DISS,,Djericl-Ouba,,,,,,,Société «La Calloise»,0,0,0,1,0,,193,159,0.9182
L1912-00881,DJEBEL-DIELLOUD,Tunis,,,,,300,,,"MM. Arragon, Astier, colas, Dubos, d'Espaigne (112 hect",1,0,0,0,0,,408,159,0.8808
L1912-00883,DJEBEL-EL-AKHOUAT,Kef,Teboursouk,,12,Gaffour,,,,"M. de Montgolfier, 17, rue de Berri, Paris",1,0,0,1,0,,283,159,0.9054
L1912-00884,DJEBEL-EL-GREFA,Bizerte,Mateur,,,,,,,"Compagnie Royale Asturienne des-Mines, rue Royale, 152, Bruxelles, Repr",0,0,0,0,0,,236,159,0.9044
L1912-00885,DJEBEL-GHERIFFA,Bizerte,Mateur,,18,Mateur et a,,,,"Société Minière du Nord de l'Afrique, 25, rue Claude-Delaroie, SaintEtienne (Loire)",0,0,0,0,0,,293,159,0.9372
