node_id,label,node_type,subtype,birth_year,n_decorations,has_portrait,entry_length_chars,page,page_url
L1912-00317,BEROLSHEIMER (V.),person_with_entry,,1865,0,1,567,57,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f81.item
L1912-00318,BERRA (J),person_with_entry,commerce,1886,0,0,93,57,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f81.item
L1912-00319,BERTAINCHAND (Ernest),person_with_entry,engineering_architecture,1864,5,1,3425,57,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f81.item
L1912-00320,BERTIN (Célestin),person_with_entry,,1870,2,0,713,58,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f82.item
L1912-00321,BERTHON (Louis),person_with_entry,engineering_architecture,1864,2,0,114,58,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f82.item
L1912-00322,BERTIN (),person_with_entry,,1872,0,0,272,58,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f82.item
L1912-00323,BERTRAND (Joseph),person_with_entry,industry_crafts,1868,2,1,713,59,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f83.item
L1912-00324,BERTRAND (Alarius-Louis-Joseph),person_with_entry,,1863,0,1,218,59,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f83.item
L1912-00326,BESSIERE (Victor - Lucien - Etienne),person_with_entry,justice_law,,2,0,220,59,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f83.item
L1912-00327,BESSIS (Eugène),person_with_entry,finance_banking,,1,0,192,59,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f83.item
L1912-00328,BESSIS (Nessim),person_with_entry,commerce,1870,1,0,1377,59,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f83.item
L1912-00334,BEYNA (Auguste - Gabriel),person_with_entry,,1858,3,0,498,60,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f84.item
L1912-00336,BEZZINA (André),person_with_entry,commerce,1874,0,0,58,60,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f84.item
L1912-00340,BIGHE-LATOUR (Gustave - ThibaultFrançois-Nicolas),person_with_entry,military,1858,4,0,1135,61,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f85.item
L1912-00342,BIGNENS (Lucien-Jules),person_with_entry,administration,1844,1,1,1325,61,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f85.item
L1912-00343,BIGORRE (Louis),person_with_entry,transport_maritime,1862,2,0,274,61,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f85.item
L1912-00344,BIGOT (Henri),person_with_entry,education_science,1874,2,0,1060,62,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f86.item
L1912-00346,BILLON (François-Joseph),person_with_entry,diplomacy,,1,0,110,62,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f86.item
L1912-00347,BILLY (Drausin),person_with_entry,agriculture,1851,0,1,944,62,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f86.item
L1912-00360,BISGH (Marie-Lucien-Arsène),person_with_entry,,1854,2,1,913,63,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f87.item
L1912-00361,BISMUTH (Joseph),person_with_entry,industry_crafts,1867,2,0,225,63,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f87.item
L1912-00365,BLANC (Alarius),person_with_entry,education_science,,2,0,543,65,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f89.item
L1912-00366,BLANC (Urbain),person_with_entry,military,1862,2,1,732,65,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f89.item
L1912-00367,BLANCHÈRÈ (R. DU COUDRAY DE LA),person_with_entry,education_science,,1,0,1596,65,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f89.item
L1912-00368,BLAVIER (Albert),person_with_entry,justice_law,1866,0,0,422,65,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f89.item
L1912-00374,B O E R N E R (Gustave-Adolphe),person_with_entry,justice_law,1839,0,0,316,66,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f90.item
L1912-00376,BOEUF (Félicien),person_with_entry,military,,3,0,374,66,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f90.item
L1912-00377,BOEUF (),person_with_entry,military,1864,5,0,489,66,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f90.item
L1912-00378,BOIANOWSKI (),person_with_entry,diplomacy,1866,1,0,402,66,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f90.item
L1912-00379,BOIZEL (Auguste),person_with_entry,agriculture,1877,2,0,185,67,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f91.item
L1912-00380,BONAN (Abraham),person_with_entry,medicine_health,1878,1,0,1005,67,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f91.item
L1912-00381,BONAN (Jules),person_with_entry,education_science,1876,2,1,3807,67,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f91.item
L1912-00384,BONNAND (Jules-Antoine),person_with_entry,military,1854,2,0,291,68,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f92.item
L1912-00385,BONNEFOND (Louis - Alariei- HenriEdouard),person_with_entry,,1848,1,0,542,68,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f92.item
